Time (sec),"CH 1, ECG (mV)","CH40, Heart Rate (mV)"
0,0.014648438,0
0.001,0.014953613,0
0.002,0.015869141,0
0.003,0.016479492,0
0.004,0.01739502,0
0.005,0.018310547,0
0.006,0.018920898,0
0.007,0.019836426,0
0.008,0.020446777,0
0.009,0.02166748,0
0.01,0.023193359,0
0.011,0.025024414,0
0.012,0.026855469,0
0.013,0.029296875,0
0.014,0.031433105,0
0.015,0.033569336,0
0.016,0.036010742,0
0.017,0.038452148,0
0.018,0.040893555,0
0.019,0.043640137,0
0.02,0.046386719,0
0.021,0.049133301,0
0.022,0.051269531,0
0.023,0.053100586,0
0.024,0.054626465,0
0.025,0.056152344,0
0.026,0.057678223,0
0.027,0.058898926,0
0.028,0.060424805,0
0.029,0.061645508,0
0.03,0.062561035,0
0.031,0.063171387,0
0.032,0.063781738,0
0.033,0.064086914,0
0.034,0.06439209,0
0.035,0.06439209,0
0.036,0.06439209,0
0.037,0.064086914,0
0.038,0.063781738,0
0.039,0.063476563,0
0.04,0.063171387,0
0.041,0.062866211,0
0.042,0.062255859,0
0.043,0.061645508,0
0.044,0.060424805,0
0.045,0.05859375,0
0.046,0.056762695,0
0.047,0.054321289,0
0.048,0.051879883,0
0.049,0.049438477,0
0.05,0.04699707,0
0.051,0.044250488,0
0.052,0.04119873,0
0.053,0.038146973,0
0.054,0.034790039,0
0.055,0.03112793,0
0.056,0.02746582,0
0.057,0.023803711,0
0.058,0.019836426,0
0.059,0.016479492,0
0.06,0.013122559,0
0.061,0.010070801,0
0.062,0.007019043,0
0.063,0.003967285,0
0.064,0.000915527,0
0.065,-0.00213623,0
0.066,-0.005187988,0
0.067,-0.008239746,0
0.068,-0.010986328,0
0.069,-0.01373291,0
0.07,-0.015869141,0
0.071,-0.017700195,0
0.072,-0.01953125,0
0.073,-0.021057129,0
0.074,-0.022583008,0
0.075,-0.024108887,0
0.076,-0.02532959,0
0.077,-0.026550293,0
0.078,-0.02746582,0
0.079,-0.028381348,0
0.08,-0.029296875,0
0.081,-0.030212402,0
0.082,-0.03112793,0
0.083,-0.032043457,0
0.084,-0.032653809,0
0.085,-0.032958984,0
0.086,-0.03326416,0
0.087,-0.033569336,0
0.088,-0.033874512,0
0.089,-0.034484863,0
0.09,-0.035095215,0
0.091,-0.036010742,0
0.092,-0.037231445,0
0.093,-0.038452148,0
0.094,-0.039672852,0
0.095,-0.04119873,0
0.096,-0.042724609,0
0.097,-0.043945313,0
0.098,-0.045471191,0
0.099,-0.046691895,0
0.1,-0.047607422,0
0.101,-0.048828125,0
0.102,-0.049743652,0
